Article,Year,Main Contribution,,
Richter2022,2022,Proposes a learning-based mutation operator using masked language models to generate realistic bugs for benchmarks.,,
Jilani2022,2022,Proposes a search-based approach for automated generation of valid test models that satisfy meta-model constraints.,,
Akli2023,2023,Introduces the first few-shot learning approach using CodeBERT and Siamese networks to classify flaky tests.,,
Cardoso2023,2023,Evaluating DRL-MOBTEST's performance in generating test cases for Android apps.,,
Gomez-Abajo2023,2023,Model-driven engineering approach to automate the construction of metamorphic testing environments for specific domains.,,
Gu2023,2023,Proposes an LLM-based code generation method for compiler testing achieving higher coverage.,,
Guilherme2023,2023,Evaluation of OpenAI LLM for generating Java unit tests comparing metrics like code coverage and mutation scores.,,
Happe2023,2023,Use of LLMs as AI sparring partners for penetration testing including high-level task planning and low-level vulnerability hunting.,,
He2023-2,2023,Proposes a learning-based approach that uses property-specific vectors to control code generation security.,,
Kang2023,2023,Introducing LIBRO an LLM-based framework that automatically generates bug-reproducing tests from general bug reports.,,
KwonSunjaeandJang2023-2,2023,Proposes the first CodeBERT-based Just-In-Time defect prediction model for edge-cloud systems.,,
Nguyen2023,2023,Proposes a GPT-based approach for automated API test generation.,,
Talebipour2023,2023,Avgust tool for automating the construction of usage-based tests for mobile apps by learning usage patterns.,,
Zimmermann2023,2023,Proposes a GUI testing method using GPT-3 to interpret natural language test cases.,,
Bergsmann2024,2024,Demonstrates the feasibility of using multi-agent LLM systems to autonomously execute Gherkin test scenarios.,,
Bhatia2024,2024,Investigation of ChatGPT's effectiveness for generating unit test scripts for Python programs comparing with Pynguin.,,
Chen2024-1,2024,Introduces ChatUniTest an LLM-based unit test generation framework with adaptive context and validation-repair mechanisms.,,
Fakhoury2024,2024,TiCoder workflow enhances LLM-based code generation trust by generating tests to formalize ambiguous prompt.,,
Feng2024,2024,Proposing a cost-effective UI automation testing approach combining LLMs with retrieval-augmented generation and machine learning.,,
Garcia2024,2024,Empirical study on ChatGPT-assisted development of automated E2E test scripts for Android apps using Gherkin.,,
He2024-3,2024,Introducing UniTSyn a large-scale multilingual dataset of 2.7 million focal-test pairs that enhances LLMs' unit test generation.,,
Hoffmann2024-1,2024,Demonstrating the effectiveness of fine-tuned smaller LLMs for mobile app test generation.,,
Huynh2024,2024,Proposing an LLM-based approach for mining and testing constraints in REST API testing.,,
Jiang2024-2,2024,Conduct the first systematic comparison between LLMs and constraint-based tools for directed test input generation.,,
Jorgensen2024,2024,Proposing an LLM-based approach to automatically generate test cases for genetic programming agents.,,
Le2024,2024,Presents an AI-driven approach using GPT to generate test cases for RESTful APIs.,,
Liu2024-2,2024,Proposes an LLM-based mobile GUI testing framework that formulates testing as a Q\&A task.,,
Liu2024-5,2024,Developing a domain-adapted LLM for VLSI design that outperforms general models on chip design tasks.,,
Lohiya2024,2024,Proposes an approach combining LLM-generated diverse seeds with combinatorial testing to enhance fuzzing effectiveness.,,
Piya2024,2024,LLM-guided iterative code generation using test-driven development.,,
Plein2024,2024,Investigating the feasibility of using LLMs to automatically generate test cases from bug reports.,,
Pornphol2024,2024,Verification of relational completeness in SQL codes generated by ChatGPT.,,
Qi2024,2024,Comprehensive review of LLM-based testing techniques discussing optimization of test code generation and input diversity.,,
Qin2024,2024,Case study on using GenAI for FOV analysis in VR exploration testing.,,
Roy2021,2021,Proposes an approach combining template-based methods and deep learning to improve test case readability.,,
Ryan2024,2024,Code-aware prompting strategy for LLMs to improve test generation coverage.,,
Salcedo2024,2024,Demonstrates GPT-4's potential to accelerate vector processor SoC design and verification.,,
Su2024-1,2024,Proposing a novel approach combining LLMs and knowledge graphs  to generate highly feasible test scenarios.,,
Shi2024-1,2024,Demonstrate through user studies that preemptive prompting in LLM-assisted test case development improves branch coverage.,,
TerziAnastasiaandBibi2024,2024,Patterns of developer interaction with ChatGPT regarding prompt characteristics and code integration.,,
Vito2024,2024,Exploring LLM applications for automating software engineering tasks specifically issue report classification and test scenario generation.,,
Wang2024-1,2024,Proposes a method that improves LLM-based unit test generation for complex Java methods by decomposing them into slices.,,
Wang2024-2,2024,Introduces a hybrid testing approach that combines static analysis with LLM-generated test instructions to replicate Android behaviors.,,
Wang2024-6,2024,Provides a comprehensive survey of studies on LLM applications in software testing.,,
Xiao2024-1,2024,Empirically demonstrating that strategic LLM intervention at different stages of search-based test generation.,,
Xue2024-1,2024,Proposes LLM4Fin a fully automated approach combining LLMs and algorithmic methods to generate high-coverage FinTech test cases.,,
Xue2024-2,2024,Demonstrates that domain-specific knowledge integration significantly enhances LLM-generated test cases.,,
Xu2024-3,2024,Proposes an LLM-based approach that automatically deduces reusable input transformations from hard-coded test cases.,,
Yang2024-4,2024,Conducting the first comprehensive empirical evaluation of open-source LLMs for unit test generation.,,
Yoon2024,2024,Introduces DroidAgent an autonomous GUI testing agent for Android using LLMs,,achieving higher activity coverage.
